num	section	category	name	bank__MSB	bank__LSB	Patch
1	CONCERT	CONCERT PIANO	Concert Grand (*1) 	84	0	1
2	CONCERT	CONCERT PIANO	Bright Concert (*1) 	84	0	2
3	CONCERT	CONCERT PIANO	Mellow Concert (*1) 	84	0	3
4	CONCERT	CONCERT PIANO	Rock Concert Grd (*1) 	84	0	4
5	CONCERT	CONCERT PIANO	Comp ConcertGrd (*1) 	84	0	5
6	CONCERT	CONCERT PIANO	Grd Mono (*1) 	84	0	6
7	CONCERT	CONCERT PIANO	NX Concert Grand (*1) 	84	0	7
8	CONCERT	CONCERT PIANO	Bright NX Concrt (*1) 	84	0	8
9	CONCERT	CONCERT PIANO	Mellow NX Concrt (*1) 	84	0	9
10	CONCERT	CONCERT PIANO	Rock NX Concert (*1) 	84	0	10
11	CONCERT	CONCERT PIANO	Comp NX Concert (*1) 	84	0	11
12	CONCERT	CONCERT PIANO	NX Concert Mono (*1) 	84	0	12
13	CONCERT	CONCERT PIANO	Brilliant Grand (*1) 	84	0	13
14	CONCERT	CONCERT PIANO	Hard Brill Grand (*1) 	84	0	14
15	CONCERT	CONCERT PIANO	Soft Brill Grand (*1) 	84	0	15
16	CONCERT	CONCERT PIANO	Rock Brill Grand (*1) 	84	0	16
17	CONCERT	CONCERT PIANO	Comp Brill Grand (*1) 	84	0	17
18	CONCERT	CONCERT PIANO	Brill Grand Mono (*1) 	84	0	18
19	CONCERT	CONCERT PIANO	St.Piano 1 	84	0	19
20	CONCERT	CONCERT PIANO	St.Piano 2 	84	0	20
21	CONCERT	CONCERT PIANO	St.Piano 3 	84	0	21
22	CONCERT	CONCERT PIANO	St.Piano 4 	84	0	22
23	CONCERT	CONCERT PIANO	St.Piano 5 	84	0	23
24	CONCERT	CONCERT PIANO	Piano 1 	84	0	24
25	CONCERT	CONCERT PIANO	Piano 1 w 	84	0	25
26	CONCERT	CONCERT PIANO	European Pf 	84	0	26
27	CONCERT	CONCERT PIANO	Stage Piano 	84	0	27
28	STUDIO	STUDIO PIANO	Upright Piano (*1) 	84	0	28
29	STUDIO	STUDIO PIANO	Bright Upright (*1) 	84	0	29
30	STUDIO	STUDIO PIANO	Mellow Upright (*1) 	84	0	30
31	STUDIO	STUDIO PIANO	Rock Upright Pno (*1) 	84	0	31
32	STUDIO	STUDIO PIANO	Comp Upright Pno (*1) 	84	0	32
33	STUDIO	STUDIO PIANO	UprightPianoMono (*1) 	84	0	33
34	STUDIO	STUDIO PIANO	Studio Grand (*1) 	84	0	34
35	STUDIO	STUDIO PIANO	Bright Studio (*1) 	84	0	35
36	STUDIO	STUDIO PIANO	Mellow Studio (*1) 	84	0	36
37	STUDIO	STUDIO PIANO	Rock StudioGrand (*1) 	84	0	37
38	STUDIO	STUDIO PIANO	Comp Studio Grd (*1) 	84	0	38
39	STUDIO	STUDIO PIANO	StudioGrand Mono (*1) 	84	0	39
40	STUDIO	STUDIO PIANO	Piano 2 	84	0	40
41	STUDIO	STUDIO PIANO	Piano 2 w 	84	0	41
42	STUDIO	HONKY-TONK	Honky-tonk Pno 1 (*1) 	84	0	42
43	STUDIO	HONKY-TONK	Honky-tonk Pno 2 (*1) 	84	0	43
44	STUDIO	HONKY-TONK	Honky-tonk Pno 3 (*1) 	84	0	44
45	STUDIO	HONKY-TONK	Honky-tonk Pno 4 (*1) 	84	0	45
46	STUDIO	HONKY-TONK	Honky Tonk 	84	0	46
47	STUDIO	HONKY-TONK	Honky-tonk 	84	0	47
48	STUDIO	HONKY-TONK	Honky-tonk w 	84	0	48
49	STUDIO	SA PIANO	SA Piano (*3) 	84	0	49
50	STUDIO	SA PIANO	Modulated SA Pno (*3) 	84	0	50
51	STUDIO	SA PIANO	Bright SA Piano (*3) 	84	0	51
52	STUDIO	SA PIANO	Comp SA Piano (*3) 	84	0	52
53	STUDIO	SA PIANO	Phaser SA Piano (*3) 	84	0	53
54	STUDIO	SA PIANO	Lo-Fi SA Piano (*3) 	84	0	54
55	STUDIO	SYNTH PIANO	JD Piano 	84	0	55
56	STUDIO	SYNTH PIANO	Bright JD Piano 	84	0	56
57	STUDIO	SYNTH PIANO	Rock JD Piano 	84	0	57
58	STUDIO	SYNTH PIANO	Comp JD Piano 	84	0	58
59	STUDIO	SYNTH PIANO	Comp JD Piano2 	84	0	59
60	STUDIO	SYNTH PIANO	Detuned JD Piano 	84	0	60
61	STUDIO	SYNTH PIANO	Chorus JD Piano 	84	0	61
62	STUDIO	SYNTH PIANO	Phaser JD Piano 	84	0	62
63	STUDIO	SYNTH PIANO	Lo-Fi JD Piano 	84	0	63
64	STUDIO	SYNTH PIANO	Brite Piano 	84	0	64
65	STUDIO	SYNTH PIANO	Pop Piano 1 	84	0	65
66	STUDIO	SYNTH PIANO	Pop Piano 2 	84	0	66
